Actor/Actress	Movie	Year
Kevin Bacon	Turn It Up!	2014
Kevin Bacon	Queens Logic	1991
Kevin Bacon	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Kevin Bacon	X-Men: First Class	2011
Kevin Bacon	He Said, She Said	1991
Kevin Bacon	Lemon Sky	1988
Kevin Bacon	End of the Line	1987
Kevin Bacon	Elephant White	2011
Kevin Bacon	The Woodsman	2004
Kevin Bacon	Where the Truth Lies	2005
Kevin Bacon	Balto	1995
Kevin Bacon	Digging to China	1997
Kevin Bacon	Murder in the First	1995
Kevin Bacon	Trapped	2002
Kevin Bacon	New York Skyride	1994
Kevin Bacon	Sleepers	1996
Kevin Bacon	Loverboy	2005
Kevin Bacon	Original Motion Picture Soundtrack	2017
Kevin Bacon	The Air I Breathe	2007
Kevin Bacon	My One and Only	2009
Kevin Bacon	The Big Green	2014
Kevin Bacon	Rails & Ties	2007
Kevin Bacon	White Water Summer	1987
Kevin Bacon	Enormous Changes at the Last Minute	1983
Kevin Bacon	Eastwood Directs: The Untold Story	2013
Kevin Bacon	Frost/Nixon	2008
Kevin Bacon	Skum Rocks!	2013
Kevin Bacon	Apollo 13	1995
Kevin Bacon	The Darkness	2016
Kevin Bacon	Diner	1982
Kevin Bacon	Sundance Skippy	2010
Kevin Bacon	My Dog Skip	2000
Kevin Bacon	Footloose	1984
Kevin Bacon	The River Wild	1994
Kevin Bacon	Wild Things	1998
Kevin Bacon	Holly Near: Singing For Our Lives	2018
Kevin Bacon	Criminal Law	1988
Kevin Bacon	The Big Picture	1989
Kevin Bacon	Mystic River	2003
Kevin Bacon	R.I.P.D.	2013
Kevin Bacon	Picture Perfect	1997
Kevin Bacon	Forty Deuce	1982
Kevin Bacon	Hollow Man	2000
Kevin Bacon	Telling Lies in America	1997
Kevin Bacon	She's Having a Baby	1988
Kevin Bacon	Flatliners	1990
Kevin Bacon	Cop Car	2015
Kevin Bacon	Death Sentence	2007
Kevin Bacon	Jayne Mansfield's Car	2012
Kevin Bacon	A Few Good Men	1992
Kevin Bacon	The Air Up There	1994
Kevin Bacon	Tremors	1990
Kevin Bacon	Hollywood Waterloo	1994
Kevin Bacon	Pyrates	1991
Kevin Bacon	Stir of Echoes	1999
Kevin Bacon	Drunk Stoned Brilliant Dead: The Story of the National Lampoon	2015
Kevin Bacon	Super	2010
Kevin Bacon	Quicksilver	1986
Nicole Kidman	The Interpreter	2005
Nicole Kidman	The Railway Man	2013
Nicole Kidman	Australia	2008
Nicole Kidman	Queen of the Desert	2015
Nicole Kidman	Birth	2004
Nicole Kidman	My Life	1993
Nicole Kidman	Lion	2016
Nicole Kidman	Lagerfeld Confidential	2007
Nicole Kidman	Bewitched	2005
Nicole Kidman	Emerald City	1988
Nicole Kidman	Just Go with It	2011
Nicole Kidman	Grace of Monaco	2014
Nicole Kidman	Practical Magic	1998
Nicole Kidman	Margot at the Wedding	2007
Nicole Kidman	The Human Stain	2003
Nicole Kidman	Windrider	1986
Nicole Kidman	The Upside	2017
Nicole Kidman	Fur: An Imaginary Portrait of Diane Arbus	2006
Nicole Kidman	Malice	1993
Nicole Kidman	Flirting	1991
Nicole Kidman	Far and Away	1992
Nicole Kidman	The Portrait of a Lady	1996
Nicole Kidman	The Others	2001
Nicole Kidman	The Peacemaker	1997
Nicole Kidman	The Paperboy	2012
Nicole Kidman	Before I Go to Sleep	2014
Nicole Kidman	BMX Bandits	1983
Nicole Kidman	Dogville	2003
Nicole Kidman	The Invasion	2007
Nicole Kidman	The Hours	2002
Nicole Kidman	I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal	2007
Nicole Kidman	The Bit Part	1987
Nicole Kidman	Eyes Wide Shut	1999
Nicole Kidman	Genius	2016
Nicole Kidman	Boy Erased	2018
Nicole Kidman	Billy Bathgate	1991
Nicole Kidman	Trespass	2011
Nicole Kidman	Birthday Girl	2001
Nicole Kidman	God Grew Tired of Us	2006
Nicole Kidman	Rabbit Hole	2010
Nicole Kidman	Strangerland	2015
Nicole Kidman	How to Talk to Girls at Parties	2017
Nicole Kidman	The Stepford Wives	2004
Nicole Kidman	Untitled Roger Ailes Project	2019
Nicole Kidman	The Goldfinch	2019
Nicole Kidman	Destroyer	2018
Nicole Kidman	The Golden Compass	2007
Nicole Kidman	Cold Mountain	2003
Nicole Kidman	Dead Calm	1989
Nicole Kidman	To Die For	1995
Nicole Kidman	The Beguiled	2017
Nicole Kidman	Stoker	2013
Nicole Kidman	Secret in Their Eyes	2015
Nicole Kidman	The Family Fang	2015
Nicole Kidman	Moulin Rouge!	2001
Nicole Kidman	Days of Thunder	1990
Nicole Kidman	Batman Forever	1995
Renee Zellweger	Cold Mountain	2003
Eileen Atkins	Cold Mountain	2003
Jude Law	Cold Mountain	2003
Sean Patrick Flanery	The Whole Truth	2009
Eric Roberts	The Whole Truth	2009
Gabriel Basso	The Whole Truth	2016
Elisabeth Rohm	The Whole Truth	2009
Keanu Reeves	The Whole Truth	2016
Gugu Mbatha-Raw	The Whole Truth	2016
Renee Zellweger	The Whole Truth	2016
Milton Bearden	Uncovered: The Whole Truth About the Iraq War	2004
David Albright	Uncovered: The Whole Truth About the Iraq War	2004
John Dean	Uncovered: The Whole Truth About the Iraq War	2004
Robert Baer	Uncovered: The Whole Truth About the Iraq War	2004
George Sanders	The Whole Truth	1958
Jim Holmes	The Whole Truth	2009
Stewart Granger	The Whole Truth	1958
Donna Reed	The Whole Truth	1958
